"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"536979716717436928","","","2014-11-24 20:28:35 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","United States Senate elections, 2016 Wikipedia article edited anonymously from US House of Representatives http://t.co/pMgPvCZaO5","","","","http://en.wikipedia.org/w/index.php?diff=635284693&oldid=635284147"
"536978597333192704","","","2014-11-24 20:24:08 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","United States Senate elections, 2016 Wikipedia article edited anonymously from US House of Representatives http://t.co/gdiUFK0BV0","","","","http://en.wikipedia.org/w/index.php?diff=635284147&oldid=635284027"
"536978373978124289","","","2014-11-24 20:23:15 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","United States Senate elections, 2016 Wikipedia article edited anonymously from US House of Representatives http://t.co/XcDZTIszeI","","","","http://en.wikipedia.org/w/index.php?diff=635284027&oldid=635264625"
"535911766673612801","","","2014-11-21 21:44:56 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Physical attractiveness Wikipedia article edited anonymously from US Senate http://t.co/uOcHoVTNZF","","","","http://en.wikipedia.org/w/index.php?diff=634885544&oldid=633079621"
"535836766516043779","","","2014-11-21 16:46:55 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Joe Garcia Wikipedia article edited anonymously from US House of Representatives http://t.co/yxgR9pOM40","","","","http://en.wikipedia.org/w/index.php?diff=634850371&oldid=634592114"
"535522633635627008","","","2014-11-20 19:58:40 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Processus de paix israélo-palestinien Wikipedia article edited anonymously from US House of Representatives http://t.co/S7r9sO7GGH","","","","http://fr.wikipedia.org/w/index.php?diff=109292583&oldid=96324275&rcid=129944849"
"535512427996409856","","","2014-11-20 19:18:06 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Palestine (État) Wikipedia article edited anonymously from US House of Representatives http://t.co/AfFJIddHvy","","","","http://fr.wikipedia.org/w/index.php?diff=109291653&oldid=109053998&rcid=129943435"
"535508258824675328","","","2014-11-20 19:01:32 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Jordanie Wikipedia article edited anonymously from US House of Representatives http://t.co/u9GZvxYIl2","","","","http://fr.wikipedia.org/w/index.php?diff=109291256&oldid=108681328&rcid=129942751"
"535500585727193088","","","2014-11-20 18:31:03 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Plan de paix Elon Wikipedia article edited anonymously from US House of Representatives http://t.co/iCe9D0im6A","","","","http://fr.wikipedia.org/w/index.php?diff=109290510&oldid=89983274&rcid=129941432"
"535488121010671616","","","2014-11-20 17:41:31 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Smokey Bear Wikipedia article edited anonymously from US House of Representatives http://t.co/kcBvdG6OUr","","","","http://en.wikipedia.org/w/index.php?diff=634716317&oldid=630927633"
"535472406828441600","","","2014-11-20 16:39:05 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","List of Rutgers University people Wikipedia article edited anonymously from US Senate http://t.co/NQEbxawglx","","","","http://en.wikipedia.org/w/index.php?diff=634709076&oldid=633259899"
"535197835512528896","","","2014-11-19 22:28:02 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Demosthenian Literary Society Wikipedia article edited anonymously from US Senate http://t.co/cfhIPPuwAY","","","","http://en.wikipedia.org/w/index.php?diff=634605557&oldid=633023221"
"535134609936506883","","","2014-11-19 18:16:47 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Julia Brownley Wikipedia article edited anonymously from US House of Representatives http://t.co/v24oK4dfbz","","","","http://en.wikipedia.org/w/index.php?diff=634570969&oldid=634570762"
"535128549750214657","","","2014-11-19 17:52:43 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Julia Brownley Wikipedia article edited anonymously from US House of Representatives http://t.co/jh47mW4sEm","","","","http://en.wikipedia.org/w/index.php?diff=634567833&oldid=634567264"
"535127064891125760","","","2014-11-19 17:46:49 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Julia Brownley Wikipedia article edited anonymously from US House of Representatives http://t.co/QGPiKZ3lWs","","","","http://en.wikipedia.org/w/index.php?diff=634567078&oldid=634566334"
"535125665285427202","","","2014-11-19 17:41:15 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Julia Brownley Wikipedia article edited anonymously from US House of Representatives http://t.co/X2WX9LSw4v","","","","http://en.wikipedia.org/w/index.php?diff=634566334&oldid=634566232"
"535125436607766528","","","2014-11-19 17:40:20 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Julia Brownley Wikipedia article edited anonymously from US House of Representatives http://t.co/2x3CRXKrxO","","","","http://en.wikipedia.org/w/index.php?diff=634566232&oldid=633966188"
